,Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs),Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
609,Germany,ISRAEL,TEL AVIV,2,2,2,0,0,809499,812368,12179,78.5%,3,7,0.6%,"1,263","1,256",7,0.6%,0.0
1268,Netherlands,UNITED KINGDOM,LONDON,3,2,1,0,0,1687833,1694009,24719,99.6%,67,74,0.5%,"15,33","14,907",74,0.5%,0.0
1708,Spain,PERU,LIMA,0,0,0,0,0,2274277,2282661,33091,38.3%,0,1,0.4%,272,248,1,0.4%,0.0
1616,Spain,BULGARIA,SOFIA,0,0,0,0,0,2151657,2159580,31341,7.4%,2,9,3.0%,300,285,9,3.0%,0.0
894,Italy,AUSTRALIA,CANBERRA,0,0,0,0,0,1189355,1193655,17602,34.8%,0,4,2.2%,182,178,4,2.2%,0.0
510,France,SRI LANKA,COLOMBO,0,0,0,0,0,677549,679922,10295,21.2%,21,2812,21.2%,"13,236","10,26","2,812",21.2%,0.0
1798,Sweden,SOUTH KOREA,SEOUL,0,0,0,0,0,2394232,2403068,34804,19.6%,0,35,13.2%,266,204,35,13.2%,0.0
141,Belgium,UNITED KINGDOM,LONDON,1,0,0,0,0,185735,186256,3274,64.3%,4,353,5.0%,"7,129","6,142",353,5.0%,0.0
1870,Switzerland,PHILIPPINES,MANILA,0,0,0,0,0,2490195,2499392,36174,25.1%,2,579,8.5%,"6,779","6,2",579,8.5%,0.0
69,Belgium,BULGARIA,SOFIA,0,0,0,0,0,89771,89932,1904,52.8%,0,4,4.8%,83,72,4,4.8%,0.0
486,France,NORWAY,OSLO,0,0,0,0,0,645561,647813,9838,0,0,0,0,1,1,0,0,0.0
864,Hungary,SOUTH AFRICA,PRETORIA,0,0,0,0,0,1149370,1153519,17031,67.4%,2,48,2.8%,"1,729","1,681",48,2.8%,0.0
1054,Latvia,ISRAEL,TEL AVIV,0,0,0,0,0,1402607,1407710,20647,20.6%,1,0,0,35,35,0,0,0.0
1637,Spain,EGYPT,ALEXANDRIA,0,0,0,0,0,2179646,2187674,31740,10.8%,2,920,24.4%,"3,773","2,817",920,24.4%,0.0
638,Germany,NETHERLANDS,AMSTERDAM,0,0,0,0,0,848151,851166,12731,100.0%,0,0,0,11,11,0,0,0.0
555,Germany,BELARUS,MINSK,4,4,4,0,0,737526,740125,11151,59.8%,23,327,0.9%,"35,048","34,721",327,0.9%,0.0
175,Czech Republic,GREECE,ATHENS,0,0,0,0,0,231051,231743,3921,0,1,0,0,1,1,0,0,0.0
465,France,MALI,BAMAKO,41,28,0,9,22.0%,617571,619719,9439,26.2%,12,3730,22.0%,"17,009","12,748","3,739",22.0%,0.0
1400,Poland,PERU,LIMA,0,0,0,0,0,1863766,1870605,27231,44.4%,0,0,0,18,18,0,0,0.0
140,Belgium,UNITED ARAB EMIRATES,ABU DHABI,0,0,0,0,0,184402,184919,3255,81.7%,1,759,17.4%,"4,372","3,364",759,17.4%,0.0
1728,Spain,SWITZERLAND,ZURICH,0,0,0,0,0,2300934,2309418,33472,0,0,0,0,2,2,0,0,0.0
686,Germany,TURKEY,IZMIR,22,15,15,7,31.8%,912126,915383,13644,85.6%,17,2833,7.2%,"39,366","36,526","2,84",7.2%,0.0
1664,Spain,INDIA,MUMBAI,7,7,0,0,0,2215633,2223796,32254,1.1%,1,"2,07",5.1%,"40,965","38,846","2,07",5.1%,0.0
1320,Norway,SAUDI ARABIA,RIYADH,0,0,0,0,0,1757140,1763577,25708,96.0%,19,77,5.8%,"1,33","1,253",77,5.8%,0.0
1647,Spain,FRANCE,MARSEILLE,0,0,0,0,0,2192975,2201053,31931,0,0,0,0,1,0,0,0,0.0
1099,Lithuania,USA,"LOS ANGELES, CA",0,0,0,0,0,1462585,1467913,21503,65.5%,1,2,3.3%,61,59,2,3.3%,0.0
748,Greece,IRAQ,BAGHDAD,0,0,0,0,0,994762,998329,14824,31.0%,69,463,31.8%,"1,455",992,463,31.8%,0.0
1711,Spain,PORTUGAL,LISBON,0,0,0,0,0,2278276,2286675,33148,0,0,0,0,8,8,0,0,0.0
135,Belgium,TUNISIA,TUNIS,0,0,0,0,0,177738,178229,3159,45.6%,32,1113,30.5%,"3,655","2,474","1,113",30.5%,0.0
1109,Luxembourg,GREECE,ATHENS,0,0,0,0,0,1475913,1481292,21693,100.0%,0,0,0,4,4,0,0,0.0
519,France,TOGO,LOME,7,5,0,0,0,689544,691962,10466,39.0%,1,1626,21.7%,"7,505","5,751","1,626",21.7%,0.0
1098,Lithuania,USA,"CHICAGO, IL",0,0,0,0,0,1461252,1466575,21484,53.1%,5,1,0.1%,864,858,1,0.1%,0.0
403,France,CENTRAL AFRICAN REPUBLIC,BANGUI,13,7,0,4,30.8%,534936,536772,8259,21.4%,5,1469,35.8%,"4,114","2,574","1,473",35.8%,0.0
539,France,UZBEKISTAN,TASHKENT,1,1,0,0,0,716201,718719,10847,9.0%,40,731,13.6%,"5,383","4,507",731,13.6%,0.0
761,Greece,MONTENEGRO,PODGORICA,0,0,0,0,0,1012089,1015721,15071,88.4%,0,3,3.4%,89,86,3,3.4%,0.0
639,Germany,NEW ZEALAND,WELLINGTON,0,0,0,0,0,849483,852504,12750,98.7%,2,2,0.4%,545,543,2,0.4%,0.0
945,Italy,GREECE,ATHENS,0,0,0,0,0,1257329,1261885,18573,100.0%,0,2,7.7%,26,24,2,7.7%,0.0
642,Germany,NIGERIA,LAGOS,132,38,20,94,71.2%,853482,856517,12807,49.8%,29,5056,53.3%,"9,621","4,471","5,15",53.5%,0.0
898,Italy,AUSTRIA,VIENNA,0,0,0,0,0,1194686,1199006,17678,85.7%,0,0,0,14,14,0,0,0.0
397,France,CAMEROON,GAROUA,0,0,0,0,0,526939,528745,8145,22.2%,0,1,9.1%,11,9,1,9.1%,0.0
550,Germany,AUSTRALIA,SYDNEY,0,0,0,0,0,730862,733436,11056,96.8%,20,23,31.1%,74,51,23,31.1%,0.0
1052,Latvia,GEORGIA,TBILISSI,0,0,0,0,0,1399942,1405034,20609,70.7%,1,35,18.5%,189,151,35,18.5%,0.0
130,Belgium,SPAIN,MADRID,0,0,0,0,0,171074,171540,3064,22.8%,1,6,9.5%,63,58,6,9.5%,0.0
1176,Netherlands,CUBA,HAVANA,213,165,155,40,18.8%,1565212,1570927,22968,53.2%,0,523,34.8%,"1,716","1,124",563,32.8%,0.0
701,Germany,USA,"SAN FRANCISCO, CA",25,25,17,0,0,932119,935450,13930,99.0%,8,28,0.8%,"3,377","3,349",28,0.8%,0.0
1404,Poland,RUSSIAN FEDERATION,KALININGRAD,0,0,0,0,0,1869097,1875956,27307,88.8%,1,565,0.7%,"80,459","79,894",565,0.7%,0.0
1124,Luxembourg,USA,"NEW YORK, NY",0,0,0,0,0,1495905,1501359,21979,97.5%,1,3,1.8%,163,160,3,1.8%,0.0
1854,Switzerland,JORDAN,AMMAN,0,0,0,0,0,2468870,2477987,35870,29.2%,160,300,13.3%,"2,263","1,963",300,13.3%,0.0
1168,Netherlands,CHINA,GUANGZHOU (CANTON),3,3,3,0,0,1554550,1560224,22816,85.9%,1,432,4.4%,"9,816","9,353",432,4.4%,0.0
1034,Italy,USA,"MIAMI, FL",0,0,0,0,0,1375951,1380953,20266,66.2%,0,68,3.8%,"1,767","1,699",68,3.8%,0.0
502,France,SENEGAL,DAKAR,70,53,0,6,8.6%,666886,669219,10143,27.6%,3,15665,36.3%,"43,215","26,752","15,671",36.3%,0.0
1470,Portugal,HUNGARY,BUDAPEST,0,0,0,0,0,1957064,1964254,28563,16.7%,0,1,14.3%,7,6,1,14.3%,0.0
283,Denmark,THAILAND,BANGKOK,0,0,0,0,0,374996,376231,5976,38.1%,2,886,6.9%,"12,831","12,013",886,6.9%,0.0
565,Germany,BULGARIA,SOFIA,2,2,1,0,0,750854,753503,11342,88.0%,13,14,1.6%,863,849,14,1.6%,0.0
780,Greece,SOUTH AFRICA,CAPE TOWN,0,0,0,0,0,1037412,1041140,15433,99.7%,0,170,3.3%,"5,144","4,974",170,3.3%,0.0
1631,Spain,CUBA,HAVANA,44,43,0,0,0,2171649,2179647,31626,5.6%,3,"2,902",16.0%,"18,138","14,701","2,902",16.0%,0.0
1564,Slovakia,UZBEKISTAN,TASHKENT,0,0,0,0,0,2082350,2090012,30351,13.3%,20,25,8.1%,309,284,25,8.1%,0.0
1558,Slovakia,TURKEY,ISTANBUL,0,0,0,0,0,2074353,2081984,30237,59.7%,0,54,4.8%,"1,114","1,06",54,4.8%,0.0
1826,Switzerland,CHINA,BEIJING,0,0,0,0,0,2431551,2440527,35337,60.4%,13,534,1.5%,"34,526","33,992",534,1.5%,0.0
1742,Spain,USA,"HOUSTON, TX",1,1,0,0,0,2319593,2328148,33738,9.6%,0,6,0.6%,"1,076","1,041",6,0.6%,0.0
1316,Norway,PHILIPPINES,MANILA,0,0,0,0,0,1751808,1758226,25632,28.8%,14,448,7.0%,"6,38","5,932",448,7.0%,0.0
1251,Netherlands,SRI LANKA,COLOMBO,0,0,0,0,0,1665175,1671266,24395,60.0%,0,1,16.7%,6,5,1,16.7%,0.0
564,Germany,BRAZIL,SAO PAULO,0,0,0,0,0,749521,752165,11323,97.4%,1,34,22.7%,150,116,34,22.7%,0.0
1198,Netherlands,IRAQ,ERBIL,0,0,0,0,0,1594535,1600360,23387,99.7%,13,166,28.1%,590,399,166,28.1%,0.0
1107,Luxembourg,FRANCE,PARIS,0,0,0,0,0,1473247,1478616,21655,66.7%,0,0,0,3,3,0,0,0.0
1241,Netherlands,SENEGAL,DAKAR,0,0,0,0,0,1651846,1657887,24205,86.7%,3,"1,281",55.4%,"2,313",982,"1,281",55.4%,0.0
691,Germany,UNITED KINGDOM,EDINBURGH,0,0,0,0,0,918791,922072,13739,98.9%,0,29,1.2%,"2,487","2,458",29,1.2%,0.0
905,Italy,BOSNIA AND HERZEGOVINA,SARAJEVO,0,0,0,0,0,1204016,1208371,17811,100.0%,0,15,6.4%,234,219,15,6.4%,0.0
1269,Netherlands,UNITED KINGDOM,MANCHESTER,0,0,0,0,0,1689165,1695347,24738,99.7%,3,5,0.4%,"1,226","1,197",5,0.4%,0.0
1188,Netherlands,HONG KONG S.A.R.,HONG KONG,0,0,0,0,0,1581206,1586981,23197,99.7%,0,25,3.2%,781,745,25,3.2%,0.0
722,Greece,BOSNIA AND HERZEGOVINA,SARAJEVO,0,0,0,0,0,960108,963545,14329,25.0%,6,16,27.6%,58,42,16,27.6%,0.0
979,Italy,NETHERLANDS,THE HAGUE,1,1,0,0,0,1302645,1307372,19220,66.7%,0,0,0,4,4,0,0,0.0
1805,Sweden,UGANDA,KAMPALA,0,0,0,0,0,2403562,2412432,34937,0,0,0,0,83,0,0,0,0.0
268,Denmark,NIGERIA,ABUJA,4,4,0,0,0,355004,356163,5690,32.1%,2,807,52.1%,"1,554",669,807,51.9%,0.0
952,Italy,INDONESIA,JAKARTA,0,0,0,0,0,1266659,1271250,18706,87.3%,1,242,1.0%,"24,414","24,172",242,1.0%,0.0
100,Belgium,ITALY,ROME,0,0,0,0,0,131089,131405,2493,66.7%,0,0,0,3,3,0,0,0.0
1047,Latvia,BELARUS,VITSYEBSK,0,0,0,0,0,1393277,1398345,20514,71.1%,20,150,0.6%,"25,7","25,446",150,0.6%,0.0
1174,Netherlands,COSTA RICA,SAN JOSE,1,0,0,0,0,1562547,1568252,22930,95.0%,0,0,0,23,20,0,0,0.0
328,Finland,INDIA,NEW DELHI,0,0,0,0,0,434974,436434,6832,69.0%,2,512,4.3%,"11,959","11,4",512,4.3%,0.0
984,Italy,NORTH MACEDONIA,SKOPJE,0,0,0,0,0,1309309,1314061,19315,71.8%,1,0,0,242,242,0,0,0.0
1361,Poland,COLOMBIA,BOGOTA,0,0,0,0,0,1811786,1818429,26488,71.4%,0,6,46.2%,13,7,6,46.2%,0.0
228,Czech Republic,UZBEKISTAN,TASHKENT,0,0,0,0,0,301691,302649,4929,8.6%,11,576,19.5%,"2,958","2,382",576,19.5%,0.0
1884,Switzerland,SUDAN,KHARTOUM,0,0,0,0,0,2508855,2518122,36440,21.8%,155,221,20.8%,"1,06",839,221,20.8%,0.0
238,Denmark,CANADA,OTTAWA,0,0,0,0,0,315019,316028,5119,33.0%,5,57,2.1%,"2,76","2,607",57,2.1%,0.0
1223,Netherlands,OMAN,MUSCAT,3,0,0,3,100.0%,1627855,1633806,23863,99.9%,13,469,5.0%,"9,325","8,768",472,5.1%,0.0
237,Denmark,BURKINA FASO,OUAGADOUGOU,0,0,0,0,0,313686,314690,5100,33.1%,0,26,12.1%,215,181,26,12.1%,0.0
648,Germany,PALESTINIAN AUTHORITY,RAMALLAH,0,0,0,0,0,861479,864544,12921,99.3%,555,593,12.7%,"4,685","4,092",593,12.7%,0.0
1595,Spain,ANDORRA,ANDORRA LA VELLA,0,0,0,0,0,2123668,2131485,30941,81.6%,0,0,0,138,136,0,0,0.0
1014,Italy,TAIWAN,TAIPEI,0,0,0,0,0,1349294,1354196,19886,94.4%,0,3,1.5%,200,197,3,1.5%,0.0
964,Italy,KOSOVO,PRISTINA,0,0,0,0,0,1282653,1287304,18934,93.6%,0,1291,22.8%,"5,657","4,366","1,291",22.8%,0.0
1121,Luxembourg,TURKEY,ANKARA,0,0,0,0,0,1491907,1497346,21922,97.6%,2,37,2.6%,"1,438","1,401",37,2.6%,0.0
1270,Netherlands,USA,"CHICAGO, IL",10,1,1,1,10.0%,1690498,1696685,24757,97.5%,4,36,2.0%,"1,856","1,757",37,2.0%,0.0
578,Germany,COSTA RICA,SAN JOSE,5,5,2,0,0,768181,770895,11589,93.1%,5,1,2.9%,40,39,1,2.5%,0.0
430,France,FINLAND,HELSINKI,0,0,0,0,0,570922,572894,8773,0,0,0,0,1,1,0,0,0.0
729,Greece,CANADA,VANCOUVER,0,0,0,0,0,969438,972910,14462,18.8%,0,3,1.8%,163,160,3,1.8%,0.0
150,Czech Republic,ARGENTINA,BUENOS AIRES,0,0,0,0,0,197730,198297,3445,100.0%,0,0,0,2,2,0,0,0.0
1651,Spain,GERMANY,DUSSELDORF,0,0,0,0,0,2198306,2206404,32007,0,0,0,0,9,8,0,0,0.0
584,Germany,DENMARK,COPENHAGEN,0,0,0,0,0,776178,778922,11703,100.0%,2,0,0,3,3,0,0,0.0
1723,Spain,SOUTH KOREA,SEOUL,2,2,0,0,0,2294270,2302729,33377,1.0%,0,10,3.0%,334,311,10,3.0%,0.0
276,Denmark,SAUDI ARABIA,RIYADH,0,0,0,0,0,365667,366866,5842,59.4%,1,140,10.1%,"1,384","1,158",140,10.1%,0.0
659,Germany,RUSSIAN FEDERATION,NOVOSIBIRSK,0,0,0,0,0,876140,879261,13130,39.8%,2,1356,3.9%,"34,612","33,256","1,356",3.9%,0.0
1118,Luxembourg,SPAIN,MADRID,0,0,0,0,0,1487908,1493332,21865,0,0,0,0,1,1,0,0,0.0
205,Czech Republic,RUSSIAN FEDERATION,YEKATERINBURG,0,0,0,0,0,271036,271879,4491,34.5%,0,78,0.3%,"24,553","24,474",78,0.3%,0.0
766,Greece,NORTH MACEDONIA,SKOPJE,0,0,0,0,0,1018753,1022410,15166,81.7%,89,35,4.9%,721,686,35,4.9%,0.0
635,Germany,MYANMAR,YANGON,3,3,3,0,0,844152,847152,12674,97.4%,0,152,3.8%,"3,971","3,819",152,3.8%,0.0
1148,Malta,UNITED KINGDOM,LONDON,0,0,0,0,0,1527893,1533468,22435,37.8%,19,0,0,"1,791","1,8",0,0,0.0
440,France,HONG KONG S.A.R.,HONG KONG,6,5,0,0,0,584251,586272,8963,32.3%,0,53,1.2%,"4,306","4,156",53,1.2%,0.0
179,Czech Republic,IRAN,TEHERAN,0,0,0,0,0,236382,237095,3997,13.4%,17,2264,53.4%,"4,237","1,971","2,264",53.4%,0.0
1103,Luxembourg,BELGIUM,BRUSSELS,0,0,0,0,0,1467916,1473264,21579,50.0%,0,2,50.0%,4,2,2,50.0%,0.0
1707,Spain,PARAGUAY,ASUNCION,3,4,0,0,0,2272944,2281324,33072,13.2%,0,6,14.3%,45,42,6,13.3%,0.0
1323,Norway,SOUTH KOREA,SEOUL,0,0,0,0,0,1761138,1767591,25765,0,3,0,0,0,6,0,0,0.0
1716,Spain,SAUDI ARABIA,RIYADH,0,0,0,0,0,2284940,2293364,33244,81.6%,573,966,2.4%,"40,181","36,619",966,2.4%,0.0
671,Germany,SOUTH KOREA,SEOUL,1,1,1,0,0,892134,895315,13359,96.9%,5,83,11.8%,703,620,83,11.8%,0.0
54,Austria,UKRAINE,KYIV,1,1,0,0,0,69779,69864,1618,66.6%,4,53,3.1%,"1,698","1,645",53,3.1%,0.0
1131,Malta,CANADA,TORONTO,0,0,0,0,0,1505235,1510724,22112,10.0%,0,6,10.0%,60,50,6,10.0%,0.0
67,Belgium,BELGIUM,BRUSSELS,0,0,0,0,0,87105,87256,1866,43.5%,0,0,0,26,23,0,0,0.0
197,Czech Republic,NORTH MACEDONIA,SKOPJE,0,0,0,0,0,260373,261176,4339,71.4%,1073,193,14.1%,"1,371","1,178",193,14.1%,0.0
1406,Poland,RUSSIAN FEDERATION,ST. PETERSBURG,0,0,0,0,0,1871763,1878632,27345,28.2%,0,74,3.8%,"1,929","1,855",74,3.8%,0.0
1169,Netherlands,CHINA,SHANGHAI,1,1,0,0,0,1555883,1561562,22835,75.8%,1,542,2.7%,"20,375","19,779",542,2.7%,0.0
1261,Netherlands,TURKEY,ISTANBUL,18,0,0,16,88.9%,1678503,1684644,24586,76.4%,21,"4,743",9.9%,"47,948","42,737","4,759",9.9%,0.0
1305,Norway,JAPAN,TOKYO,0,0,0,0,0,1737147,1743509,25423,13.4%,0,14,5.5%,253,239,14,5.5%,0.0
932,Italy,CZECH REPUBLIC,PRAGUE,0,0,0,0,0,1240002,1244493,18325,100.0%,0,0,0,2,2,0,0,0.0
1842,Switzerland,GERMANY,MUNICH,0,0,0,0,0,2452876,2461933,35641,100.0%,0,0,0,3,3,0,0,0.0
1399,Poland,PANAMA,PANAMA CITY,0,0,0,0,0,1862433,1869267,27212,62.5%,0,0,0,16,16,0,0,0.0
929,Italy,CROATIA,ZAGREB,0,0,0,0,0,1236004,1240479,18268,88.6%,0,4,0.7%,567,563,4,0.7%,0.0
147,Czech Republic,AFGHANISTAN,KABUL,0,0,0,0,0,193732,194284,3388,40.6%,41,1,0.9%,108,105,1,0.9%,0.0
2,Austria,ARGENTINA,BUENOS AIRES,0,0,0,0,0,16,16,16,100.0%,0,0,0,16,16,0,0,0.0
1039,Italy,UZBEKISTAN,TASHKENT,0,0,0,0,0,1382615,1387642,20361,20.4%,131,200,6.4%,"3,105","2,905",200,6.4%,0.0
358,Finland,SWEDEN,STOCKHOLM,0,0,0,0,0,474959,476569,7403,0,1,0,0,1,1,0,0,0.0
1030,Italy,USA,"CHICAGO, IL",0,0,0,0,0,1370619,1375602,20190,96.5%,1,9,0.7%,"1,295","1,286",9,0.7%,0.0
1605,Spain,AUSTRIA,VIENNA,0,0,0,0,0,2136996,2144863,31131,0,0,0,0,2,1,0,0,0.0
136,Belgium,TURKEY,ANKARA,0,0,0,0,0,179071,179567,3178,29.6%,1,1097,58.3%,"1,882","1,138","1,097",58.3%,0.0
1182,Netherlands,FINLAND,HELSINKI,0,0,0,0,0,1573209,1578954,23082,100.0%,0,0,0,2,2,0,0,0.0
1160,Netherlands,BRAZIL,SAO PAULO,3,1,1,0,0,1543887,1549522,22664,92.9%,8,17,17.5%,100,79,17,17.0%,0.0
1257,Netherlands,THAILAND,BANGKOK,0,0,0,0,0,1673171,1679293,24510,99.6%,0,"1,055",7.2%,"14,673","13,311","1,055",7.2%,0.0
590,Germany,FINLAND,HELSINKI,0,0,0,0,0,784175,786949,11817,100.0%,0,0,0,3,3,0,0,0.0
1462,Portugal,CYPRUS,NICOSIA,0,0,0,0,0,1946401,1953551,28410,56.8%,1,43,34.4%,125,82,43,34.4%,0.0
745,Greece,INDIA,NEW DELHI,0,0,0,0,0,990763,994316,14767,100.0%,12,5217,11.5%,"45,341","40,124","5,217",11.5%,0.0
1675,Spain,JAPAN,TOKYO,0,0,0,0,0,2230294,2238512,32463,0.6%,0,65,4.3%,"1,509","1,405",65,4.3%,0.0
1521,Slovakia,ARGENTINA,BUENOS AIRES,0,0,0,0,0,2025038,2032484,29533,100.0%,0,0,0,1,1,0,0,0.0
1144,Malta,TURKEY,ANKARA,0,0,0,0,0,1522562,1528116,22359,100.0%,0,0,0,1,1,0,0,0.0
1844,Switzerland,GHANA,ACCRA,1,1,1,0,0,2455542,2464608,35679,21.7%,4,1685,47.1%,"3,576","1,891","1,685",47.1%,0.0
847,Hungary,NIGERIA,ABUJA,0,0,0,0,0,1126712,1130776,16708,24.2%,1,547,52.2%,"1,047",500,547,52.2%,0.0
495,France,QATAR,DOHA,2,1,0,0,0,657556,659854,10010,59.0%,58,2880,8.2%,"34,965","31,969","2,88",8.2%,0.0
1247,Netherlands,SOUTH AFRICA,DURBAN,0,0,0,0,0,1659843,1665914,24319,100.0%,0,71,3.0%,"2,394","2,298",71,3.0%,0.0
309,Estonia,USA,"NEW YORK, NY",0,0,0,0,0,409650,411015,6470,35.3%,2,8,4.1%,197,189,8,4.1%,0.0
374,France,ALGERIA,ORAN,1,1,0,0,0,496284,497975,7707,16.6%,26,75742,54.2%,"139,836","66,033","75,742",54.2%,0.0
1262,Netherlands,TURKEY,IZMIR,0,0,0,0,0,1679836,1685982,24605,70.5%,0,657,10.5%,"6,24","5,558",657,10.5%,0.0
774,Greece,RUSSIAN FEDERATION,NOVOROSSIISK,0,0,0,0,0,1029415,1033113,15319,50.0%,29,545,2.2%,"24,541","23,996",545,2.2%,0.0
1413,Poland,SWEDEN,STOCKHOLM,0,0,0,0,0,1881093,1887997,27478,100.0%,0,0,0,8,8,0,0,0.0
1355,Poland,CANADA,VANCOUVER,0,0,0,0,0,1803789,1810402,26374,32.5%,0,1,1.2%,81,80,1,1.2%,0.0
43,Austria,SERBIA,BELGRADE,0,0,0,0,0,55118,55148,1409,81.1%,0,21,3.9%,540,519,21,3.9%,0.0
727,Greece,CANADA,OTTAWA,0,0,0,0,0,966772,970234,14424,67.7%,0,0,0,62,62,0,0,0.0
1623,Spain,CHINA,BEIJING,0,0,0,0,0,2160987,2168944,31474,2.6%,1,"1,253",1.4%,"90,428","88,394","1,253",1.4%,0.0
1813,Switzerland,ALGERIA,ALGIERS,0,0,0,0,0,2414224,2423135,35089,36.3%,15,1407,35.9%,"3,923","2,516","1,407",35.9%,0.0
151,Czech Republic,ARMENIA,YEREVAN,0,0,0,0,0,199063,199635,3464,22.8%,1,531,16.8%,"3,167","2,636",531,16.8%,0.0
980,Italy,NEW ZEALAND,WELLINGTON,0,0,0,0,0,1303978,1308709,19239,23.4%,0,0,0,517,517,0,0,0.0
1284,Norway,AUSTRALIA,CANBERRA,0,0,0,0,0,1709158,1715415,25023,22.6%,9,16,4.3%,375,359,16,4.3%,0.0
357,Finland,SPAIN,MADRID,0,0,0,0,0,473626,475231,7384,0,10,0,0,11,10,0,0,0.0
469,France,MEXICO,MEXICO CITY,21,16,0,0,0,622903,625070,9515,12.1%,0,13,6.3%,227,190,13,5.7%,0.0
1312,Norway,NETHERLANDS,THE HAGUE,0,0,0,0,0,1746477,1752874,25556,100.0%,3,0,0,4,4,0,0,0.0
1147,Malta,UNITED ARAB EMIRATES,DUBAI,0,0,0,0,0,1526560,1532130,22416,57.7%,0,434,32.6%,"1,331",782,434,32.6%,0.0
