Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
Czech Republic,CUBA,HAVANA,,,,,,"223 054,00","223 716,14","3 806,43",11.3%,,79,19.0%,415,336,79,19.0%
Czech Republic,EGYPT,CAIRO,,,,,,"224 386,83","225 053,99","3 825,46",21.5%,3,693,25.5%,"2,713","2,018",693,25.5%
Czech Republic,ETHIOPIA,ADDIS ABEBA,,,,,,"225 719,66","226 391,84","3 844,49",16.7%,1,103,43.6%,236,133,103,43.6%
Czech Republic,GEORGIA,TBILISSI,,,,,,"227 052,49","227 729,68","3 863,51",9.4%,1,60,21.9%,274,214,60,21.9%
Czech Republic,GERMANY,BERLIN,,,,,,"228 385,31","229 067,53","3 882,54",100.0%,9,,,11,11,,
Czech Republic,GHANA,ACCRA,,,,,,"229 718,14","230 405,37","3 901,57",19.6%,6,396,51.8%,764,368,396,51.8%
Czech Republic,GREECE,ATHENS,,,,,,"231 050,97","231 743,22","3 920,60",,1,,,1,1,,
Czech Republic,HONG KONG S.A.R.,HONG KONG,,,,,,"232 383,80","233 081,07","3 939,63",14.0%,,2,0.4%,473,471,2,0.4%
Czech Republic,INDIA,NEW DELHI,,,,,,"233 716,63","234 418,91","3 958,66",10.0%,,6219,23.3%,"26,683","20,449","6,219",23.3%
Czech Republic,INDONESIA,JAKARTA,,,,,,"235 049,46","235 756,76","3 977,69",18.7%,,7,0.4%,"1,628","1,619",7,0.4%
Czech Republic,IRAN,TEHERAN,,,,,,"236 382,29","237 094,60","3 996,71",13.4%,17,2264,53.4%,"4,237","1,971","2,264",53.4%
Czech Republic,IRAQ,BAGHDAD,,,,,,"237 715,11","238 432,45","4 015,74",36.0%,33,16,4.0%,398,380,16,4.0%
Czech Republic,IRAQ,ERBIL,,,,,,"239 047,94","239 770,30","4 034,77",28.2%,,60,41.4%,145,85,60,41.4%
Czech Republic,IRELAND,DUBLIN,,,,,,"240 380,77","241 108,14","4 053,80",27.5%,,1,0.3%,346,345,1,0.3%
Czech Republic,ISRAEL,TEL AVIV,,,,,,"241 713,60","242 445,99","4 072,83",19.0%,,29,4.2%,691,662,29,4.2%
Czech Republic,JAPAN,TOKYO,,,,,,"243 046,43","243 783,84","4 091,86",9.0%,,,,345,345,,
Czech Republic,JORDAN,AMMAN,,,,,,"244 379,26","245 121,68","4 110,89",20.7%,3,346,18.7%,"1,85","1,498",346,18.7%
Czech Republic,KAZAKHSTAN,ASTANA,,,,,,"245 712,09","246 459,53","4 129,91",13.3%,1,352,2.1%,"16,925","16,555",352,2.1%
Czech Republic,KENYA,NAIROBI,,,,,,"247 044,91","247 797,37","4 148,94",27.7%,,41,11.5%,355,314,41,11.5%
Czech Republic,KUWAIT,KUWAIT,,,,,,"248 377,74","249 135,22","4 167,97",87.4%,1,120,2.5%,"4,821","4,7",120,2.5%
Czech Republic,LEBANON,BEIRUT,,,,,,"249 710,57","250 473,07","4 187,00",30.0%,40,687,12.4%,"5,542","4,854",687,12.4%
Czech Republic,MALAYSIA,KUALA LUMPUR,,,,,,"251 043,40","251 810,91","4 206,03",18.4%,1,189,43.4%,435,245,189,43.4%
Czech Republic,MEXICO,MEXICO CITY,,,,,,"252 376,23","253 148,76","4 225,06",7.3%,,2,2.3%,87,82,2,2.3%
Czech Republic,MOLDOVA,CHISINAU,,,,,,"253 709,06","254 486,60","4 244,09",1.8%,1,12,0.7%,"1,629","1,617",12,0.7%
Czech Republic,MONGOLIA,ULAN BATOR,,,,,,"255 041,89","255 824,45","4 263,11",10.0%,,454,16.5%,"2,755","2,301",454,16.5%
Czech Republic,MOROCCO,RABAT,,,,,,"256 374,71","257 162,30","4 282,14",36.9%,,205,32.6%,628,423,205,32.6%
